lang,n_text_per_lang,mean_tokens_per_text,n_text_under_100_tokens,ratio_text_under_100_tokens,n_lang,n_text
ar,548,118.86496350364963,45,0.5456204379562044,9,4948
en,550,48.018181818181816,29,0.9763636363636363,9,4948
zh,550,44.63090909090909,413,0.9672727272727273,9,4948
de,550,31.516363636363636,88,1.0,9,4948
ko,550,40.18363636363637,163,0.9890909090909091,9,4948
es,550,54.78545454545455,13,0.9472727272727273,9,4948
ja,550,57.696363636363635,312,0.9145454545454546,9,4948
ru,550,39.92545454545454,35,0.9945454545454545,9,4948
fr,550,45.096363636363634,66,0.9763636363636363,9,4948
Global,4948,53.38662085691188,1164,0.23524656426839127,9,4948
